Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-08-07,-21.28,137.58,40.0,176.01,2659.21542062,9908458.5099,118.16574602
2017-08-06,386.16,-56.58,292.66,-21.27,-12948.39982902,-40050148.4953,77.73727965
2017-08-05,70.29,457.21,97.34,386.15,13899.62013147,46154442.5753,316.13005857
2017-08-04,87.15,78.79,60.11,70.32,289.02302347,1391491.2997,77.2772813
2017-08-03,-31.7,40.94,49.89,87.12,-996.31792109,-2380873.026,42.8238278
2017-08-02,-125.29,-166.94,-26.01,-32.69,-1350.69409766,-4528164.3868,-88.95246245
2017-08-01,132.9,25.0,-23.99,-124.29,-1689.21076569,-4604544.7097,10.60374704
2017-07-31,23.79,160.02,200.0,132.89,3001.9974727,9353114.465,116.53831585
2017-07-30,-85.87,-51.01,-156.0,23.78,-1399.94947268,-4181119.4814,-44.85970551
2017-07-29,121.08,-34.12,0.44999999999982,-85.86,-7329.11450132,-20421830.4836,-30.2185916
2017-07-28,139.01,138.91,141.45,121.08,7154.7196763,21299729.2143,164.900802
2017-07-27,-38.02,72.2,111.1,139.0,-2984.5074757,-6588189.6457,85.5943476
2017-07-26,-197.68,-168.44,-46.69,-38.01,-6176.788066,-17329490.983,-99.8586275
2017-07-25,6.4899999999998,-16.76,-277.11,-198.26,11090.17749492,27455064.3091,-163.48319201
2017-07-24,-70.08,-48.8,35.8,7.98,-2089.32963772,-5933150.3311,-16.6302883
2017-07-23,164.22,-21.88,44.05,-70.99,-2030.6428866,-5774524.1297,-11.3729802
2017-07-22,-212.4,-10.12,38.68,167.82,-10836.5677927,-28756256.3207,62.47700764
2017-07-21,614.46,-77.0,349.28,-216.03,-13447.1204447,-32625533.5149,109.72526156
2017-07-20,-48.49,561.0,42.99,614.49,17941.8297617,52784337.8622,316.54113885
2017-07-19,72.34,2.5700000000002,81.63,-49.16,-5228.11803,-11769200.9078,10.26375598
2017-07-18,323.35,155.36,224.79,72.96,2358.8296054,10005132.6649,215.00938578
2017-07-17,-52.54,194.13,151.38,323.41,-304.1282032,2891653.9962,161.9980943
2017-07-16,-252.69,-180.88,-206.11,-52.53,5406.2040931,7727732.4123,-159.24689552
2017-07-15,-122.98,-124.46,-185.69,-252.93,2785.5108373,3316397.0371,-180.75826466
2017-07-14,-44.35,-67.51,-158.14,-122.76,4007.63837679,7989193.3948,-107.98411508
2017-07-13,74.35,1.79,58.14,-43.42,-4292.93254149,-9869151.4351,18.50621746
2017-07-12,-20.93,5.0,-15.0,73.41,-1836.0786726,-4402002.7338,-6.7301020600003
2017-07-11,-177.07,-113.0,15.0,-21.04,116.5455523,-580549.5788,-54.90918774
2017-07-10,-52.84,-56.84,-250.0,-177.94,9906.57082541,22961560.6273,-147.15805581
2017-07-09,59.69,16.34,28.78,-52.12,-2222.44704328,-5437128.122,28.91749784
2017-07-08,-103.74,-44.11,-0.7800000000002,59.96,-3770.90025843,-9743904.3946,-20.74209636
2017-07-07,-12.07,-15.93,-108.69,-103.69,3432.78499433,8245666.0825,-57.98691254
2017-07-06,14.96,-6.6999999999998,29.63,-12.12,-1975.63352633,-4988381.7659,14.30137672
2017-07-05,59.59,-5.8600000000001,8.8800000000001,14.96,-496.9351185,-1435034.783,-14.11636169
2017-07-04,27.04,51.32,62.43,59.59,634.7324006,2375071.5096,72.24171742
2017-07-03,91.29,39.78,94.75,25.75,947.54362224,2931174.5324,59.07130531
2017-07-02,-31.11,30.0,-15.0,93.03,650.2004003,1752321.747,17.53826874
2017-07-01,-75.97,-39.01,-46.2,-31.56,-3412.87063734,-8988938.5514,-53.00178178
2017-06-30,-21.97,-37.97,-59.9,-74.81,2812.79841542,6538286.384,-55.38426349
2017-06-29,-20.09,-13.02,49.1,-23.12,-7192.79360052,-18099460.7392,18.46289179
